OTU ID;27F-U1492R (ยง);337F-805R (ยง);515FB-U1492Rw (ยง);27F-U1492R (%);337F-805R (%);515FB-U1492Rw (%)
Bacillus halotolerans;1335;718;1263;15,8%;5,9%;11,9%
Lactobacillus fermentum;1074;1775;1229;12,7%;14,6%;11,6%
Salmonella enterica;938;884;1105;11,1%;7,3%;10,4%
Enterococcus faecalis;817;1281;887;9,6%;10,6%;8,4%
Staphylococcus aureus;650;368;736;7,7%;3,0%;6,9%
Escherichia fergusonii;682;322;711;8,0%;2,7%;6,7%
Listeria innocua;435;258;665;5,1%;2,1%;6,3%
Bacillus mojavensis;331;2165;548;3,9%;17,8%;5,2%
Listeria welshimeri;671;333;543;7,9%;2,7%;5,1%
Bacillus vallismortis;247;145;501;2,9%;1,2%;4,7%
Pseudomonas aeruginosa;319;422;312;3,8%;3,5%;2,9%
Bacillus subtilis;185;178;180;2,2%;1,5%;1,7%
Listeria seeligeri;132;73;169;1,6%;0,6%;1,6%
Bacillus sporothermodurans;1;2;127;0,0%;0,0%;1,2%
Escherichia marmotae;105;75;119;1,2%;0,6%;1,1%
Staphylococcus petrasii;50;47;116;0,6%;0,4%;1,1%
Lactobacillus suebicus;4;1;112;0,0%;0,0%;1,1%
Bacillus atrophaeus;4;12;105;0,0%;0,1%;1,0%
Shigella sonnei;80;30;99;0,9%;0,2%;0,9%
Shigella flexneri;68;370;96;0,8%;3,0%;0,9%
Enterococcus italicus;1;1;91;0,0%;0,0%;0,9%
Lactobacillus equigenerosi;5;4;67;0,1%;0,0%;0,6%
Lactobacillus pentosus;0;0;58;0,0%;0,0%;0,5%
Lactobacillus gastricus;1;8;56;0,0%;0,1%;0,5%
Enterococcus avium;34;22;47;0,4%;0,2%;0,4%
Staphylococcus haemolyticus;28;20;47;0,3%;0,2%;0,4%
Staphylococcus hominis;27;25;45;0,3%;0,2%;0,4%
Staphylococcus simiae;26;1085;45;0,3%;8,9%;0,4%
Escherichia albertii;26;24;44;0,3%;0,2%;0,4%
Shigella boydii;19;16;41;0,2%;0,1%;0,4%
Bacillus hisashii;0;0;34;0,0%;0,0%;0,3%
Bacillus licheniformis;23;25;29;0,3%;0,2%;0,3%
Escherichia coli;8;96;26;0,1%;0,8%;0,2%
Enterococcus pseudoavium;0;0;24;0,0%;0,0%;0,2%
Anaerobacillus macyae;0;0;23;0,0%;0,0%;0,2%
Listeria ivanovii;14;1240;23;0,2%;10,2%;0,2%
Enterococcus wangshanyuanii;16;9;19;0,2%;0,1%;0,2%
Staphylococcus saccharolyticus;19;9;19;0,2%;0,1%;0,2%
Bacillus decolorationis;0;0;18;0,0%;0,0%;0,2%
Enterococcus mundtii;0;3;18;0,0%;0,0%;0,2%
Bacillus berkeleyi;1;0;17;0,0%;0,0%;0,2%
Kosakonia sacchari;17;13;17;0,2%;0,1%;0,2%
Bacillus humi;1;2;16;0,0%;0,0%;0,2%
Bacillus xiamenensis;8;4;15;0,1%;0,0%;0,1%
Bacillus isabeliae;10;6;14;0,1%;0,0%;0,1%
Enterobacter cloacae;14;31;14;0,2%;0,3%;0,1%
Enterococcus sulfureus;3;4;14;0,0%;0,0%;0,1%
Listeria marthii;9;3;14;0,1%;0,0%;0,1%
Listeria monocytogenes;13;16;14;0,2%;0,1%;0,1%
Streptococcus gallinaceus;0;0;14;0,0%;0,0%;0,1%
Streptococcus urinalis;0;0;14;0,0%;0,0%;0,1%
Enterococcus saccharolyticus;4;4;13;0,0%;0,0%;0,1%
Isobaculum melis;9;3;13;0,1%;0,0%;0,1%
Bacillus nematocida;10;5;12;0,1%;0,0%;0,1%
Planococcus maritimus;2;0;12;0,0%;0,0%;0,1%
Streptococcus parasanguinis;0;0;11;0,0%;0,0%;0,1%
total;8476;12137;10621;100%;100%;100%
